P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN,Euclidean Barycenter
12420.243,12139.879,11871.379,12296.222,11757.404,12413.002,12040.0,11573.281,11745.673,13544.045,13837.265,13995.088,12736.495,12205.629,13405.755,13348.573,16168.322,13545.762,13601.626,13179.498,12354.811,12865.712
12442.464,12338.841,12389.776,12437.808,11528.787,12431.651,12171.461,11646.8,11818.534,13892.518,13937.761,13939.479,12873.457,12054.287,13504.706,13464.176,16397.072,13434.905,13474.147,13026.568,12569.857,12941.669285714286
12532.578,12334.506,12416.042,12422.487,11263.487,12300.579,12065.29,11425.463,11741.256,14054.279,13976.363,13847.558,12839.27,12164.385,13667.251,13432.593,16403.258,13586.113,13329.786,13206.773,12389.184,12923.738142857143
12774.4,12354.741,12513.101,12385.204,11264.261,12436.532,12151.679,11607.547,11798.698,14124.172,13864.193,13969.335,12762.462,12142.707,13691.989,13610.679,16414.791,13522.229,13462.328,13173.657,12453.89,12975.171190476192
12507.517,12410.798,12609.312,12336.965,11231.813,12553.119,12172.58,11485.338,11580.185,14316.941,13981.271,14024.099,12992.606,12093.514,13855.313,13763.724,16629.952,13727.46,13497.366,13275.756,12291.162,13016.037666666665
12599.603,12495.148,12650.57,12443.201,11103.018,12312.167,12171.011,11510.437,11746.545,14135.458,13956.783,14109.102,12664.621,12048.609,13788.567,13707.356,16553.67,13799.815,13392.167,13281.715,12345.912,12991.213095238094
12628.159,12495.541,12575.114,12575.667,11257.98,12464.473,12124.179,11601.224,11698.86,14239.084,13985.485,14023.72,12755.178,12008.622,13769.875,13380.62,16585.729,13582.851,13525.185,13271.039,12356.945,12995.501428571428
12544.837,12505.343,12528.218,12660.449,11045.073,12338.929,11920.822,11655.906,11659.911,14200.782,14103.243,13923.748,12803.609,12279.164,13811.102,13293.136,16665.445,13726.843,13549.25,13239.453,12363.825,12991.385142857142
12555.058,12561.692,12515.67,12730.104,11208.864,12207.103,11966.869,11505.355,11780.887,14259.138,14010.119,14151.99,12618.031,12129.33,13779.456,13329.093,16567.234,13581.362,13491.654,13260.525,12331.616,12978.149999999998
12704.185,12596.899,12459.113,12750.854,11015.906,12377.192,12021.457,11456.924,11789.499,14251.952,14101.048,14084.562,12607.277,12207.168,13586.275,13383.029,16554.915,13708.385,13468.125,13019.797,12401.437,12978.380904761905
