modified_index,P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
07:30:00,2971.983,2894.882,2901.094,2890.043,2900.349,2546.599,2353.627,2794.918,2708.818,2714.061,2748.18,2940.568,2387.572,2231.663,2832.663,2754.956,2802.885,2700.263,2832.298,2445.034,2292.86,2809.649,2768.724,2747.875,2909.494,2792.686,1791.706,1752.868,1972.131,1966.676,2054.625,2038.219,2215.882,2359.932,2353.297,2203.933,2234.537,2742.526,2803.639,2857.44,2436.451,2234.37,2851.893,2943.341,2971.953,2772.834,2825.959,2406.344,2261.039,2565.8232448979593,2742.526,2971.983,2589.1096197636953,2589.4386647276638
07:45:00,2912.538,2923.925,2925.379,2901.17,2939.707,2648.141,2413.179,2839.01,2723.703,2624.441,2743.996,2913.594,2440.522,2262.711,2901.835,2753.115,2843.19,2741.483,2868.731,2549.37,2318.798,2792.801,2810.971,2808.28,2871.541,2808.808,1887.76,1768.748,2017.498,1963.842,2021.224,2044.037,2207.746,2412.667,2384.563,2260.993,2314.127,2786.177,2865.707,2842.967,2546.72,2340.707,2894.146,3012.482,2940.548,2820.426,2830.481,2475.524,2372.383,2597.8043265306123,2743.996,2912.538,2611.4808959518246,2643.653588963528
08:00:00,2991.308,2937.249,2996.412,2833.703,2981.66,2733.459,2471.207,2867.014,2728.847,2696.337,2798.764,2889.493,2583.811,2316.873,2937.23,2793.99,2892.198,2775.844,2814.314,2587.433,2343.714,2776.264,2853.439,2761.218,2876.759,2846.142,1883.953,1827.331,2011.261,1929.007,2004.777,1977.476,2088.816,2549.689,2478.408,2307.241,2407.011,2865.508,2978.328,2829.259,2627.426,2329.732,2940.783,3003.138,2947.526,2747.146,2797.756,2539.007,2413.176,2623.8456530612243,2761.218,2991.308,2660.0181770901913,2689.8568448445617
08:15:00,3079.748,2995.06,2966.028,2914.053,3072.819,2835.853,2496.678,2880.967,2824.605,2699.578,2824.91,2925.766,2689.409,2342.538,2873.197,2903.461,2930.689,2847.764,2968.819,2632.892,2461.72,2862.021,2856.597,2881.939,2875.961,2962.028,1991.716,1850.611,2014.354,1965.496,2007.897,2056.042,2163.353,2611.172,2541.137,2324.635,2463.486,3000.728,3030.42,2942.766,2739.749,2419.952,2956.642,3093.543,2970.069,2876.517,2962.812,2697.204,2452.911,2688.536979591838,2847.764,3079.748,2705.370146758704,2711.335219870837
08:30:00,3183.425,3086.865,3115.605,3101.014,3100.078,2842.446,2608.572,2961.766,2950.625,2856.351,2934.98,2967.199,2831.66,2476.365,2971.042,2926.03,3021.09,2886.602,3011.86,2699.246,2554.901,2945.511,2939.875,2991.196,2961.347,3051.919,2032.924,1907.718,2056.686,2029.046,2094.361,2069.23,2181.172,2701.209,2547.469,2406.885,2496.122,3056.523,3183.342,3105.822,2923.612,2469.694,3097.264,3200.822,3030.036,3017.558,3056.855,2823.031,2542.867,2775.66975510204,2934.98,3183.425,2722.821949108757,2713.371684198132
08:45:00,3210.632,3161.387,3167.391,3152.22,3176.45,3030.028,2688.377,3053.119,2948.1,2940.506,3009.587,3018.02,2844.951,2526.547,2996.163,2977.332,3099.269,2929.093,3129.406,2843.35,2584.501,3073.199,2993.899,3054.228,3088.668,3105.591,2040.477,1944.772,2148.16,2106.905,2086.971,2106.2,2193.79,2714.115,2612.474,2380.304,2546.155,3092.994,3224.048,3179.527,2947.667,2541.825,3199.408,3225.918,3167.567,3078.802,3126.693,2856.196,2624.108,2835.6548979591844,2993.899,3210.632,2773.9371027696784,2746.701719305605
09:00:00,3234.496,3231.811,3216.023,3123.821,3275.087,3102.172,2711.017,3126.393,3033.102,2992.112,3115.801,3132.921,2881.289,2530.638,2997.776,3054.519,3187.18,2982.146,3150.325,2885.703,2587.492,3101.977,3143.887,3036.084,3106.602,3154.746,2109.668,2012.677,2151.663,2126.831,2138.57,2194.513,2219.419,2812.721,2728.521,2446.552,2562.199,3170.128,3240.45,3208.452,2973.052,2583.109,3200.061,3311.632,3222.263,3110.849,3162.351,2944.421,2665.444,2885.523795918367,3036.084,3234.496,2795.9749028722595,2790.8762815319637
09:15:00,3276.176,3269.728,3266.008,3169.17,3265.434,3190.93,2705.662,3193.397,3128.001,3009.87,3211.284,3203.102,3009.61,2550.83,3041.752,3113.804,3241.514,3097.013,3170.913,2968.526,2587.298,3172.893,3245.02,3147.621,3201.694,3180.91,2130.257,2081.39,2190.087,2174.227,2162.838,2226.834,2225.786,2789.912,2779.93,2533.449,2540.509,3186.277,3305.948,3272.944,3011.117,2675.355,3205.773,3327.911,3290.253,3190.499,3275.638,3012.879,2694.472,2936.784591836735,3128.001,3276.176,2790.9182452904233,2796.2949454559903
09:30:00,3347.807,3277.652,3278.337,3179.148,3289.091,3189.553,2782.543,3244.072,3139.655,3132.776,3182.789,3200.944,3109.306,2572.82,3117.51,3189.991,3317.345,3021.808,3275.385,3137.343,2680.467,3233.65,3295.759,3186.482,3230.024,3226.645,2149.524,2087.74,2204.312,2185.194,2207.437,2253.652,2246.754,2859.608,2689.912,2601.629,2569.449,3230.734,3374.872,3255.268,3015.159,2624.842,3280.061,3380.148,3350.79,3278.203,3320.473,3108.622,2717.063,2976.1295510204095,3179.148,3347.807,2790.9182452904233,2859.276061505347
09:45:00,3383.519,3285.793,3317.441,3214.603,3325.581,3254.609,2822.92,3286.781,3190.954,3182.679,3178.223,3289.038,3084.865,2635.958,3225.259,3210.697,3373.91,2996.272,3309.074,3119.459,2687.039,3264.473,3286.432,3248.45,3207.97,3218.667,2171.303,2105.599,2217.244,2187.328,2250.247,2295.006,2279.998,2895.41,2683.998,2578.878,2656.564,3277.523,3413.352,3371.761,3028.657,2708.843,3340.054,3421.798,3357.156,3255.686,3336.651,3116.759,2681.129,3004.7267346938775,3207.97,3383.519,2790.9182452904233,2775.2268799737735
