modified_index,P-FW1-FRI,P-FW2-FRI,P-FW3-FRI,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
19:45:00,3230.007,3683.698,3858.321,3590.675333333333,3683.698,3230.007,3684.7001111111113,3684.3649461014265
20:00:00,3193.094,3644.168,3850.93,3562.730666666667,3644.168,3193.094,3413.1568055555554,3410.912106601213
20:15:00,3155.207,3625.698,3808.812,3529.905666666667,3625.698,3155.207,3276.3939444444445,3278.200123604236
20:30:00,3166.428,3620.979,3854.873,3547.4266666666663,3620.979,3166.428,3274.091166666667,3265.7975913736573
20:45:00,3184.365,3583.739,3811.236,3526.4466666666667,3583.739,3184.365,3274.091166666667,3265.475088952372
21:00:00,3201.699,3513.192,3776.155,3497.0153333333333,3513.192,3201.699,3274.091166666667,3273.266979135872
21:15:00,3209.688,3466.38,3784.25,3486.7726666666663,3466.38,3209.688,3193.797166666667,3196.496953151563
21:30:00,3174.165,3457.0,3805.142,3478.7690000000002,3457.0,3174.165,3491.156631578948,3491.909965789892
21:45:00,3143.925,3446.679,3696.223,3428.942333333334,3446.679,3143.925,3283.7995,3285.9670910500204
22:00:00,3181.172,3394.62,3656.592,3410.7946666666667,3394.62,3181.172,3283.7995,3282.406324047372
22:15:00,3134.07,3292.533,3523.115,3316.572666666667,3292.533,3134.07,3289.6325,3289.412385089483
22:30:00,3064.247,3327.531,3516.49,3302.756,3327.531,3064.247,3221.0121666666664,3209.100772361442
22:45:00,3019.87,3217.709,3360.807,3199.4619999999995,3217.709,3019.87,3178.792636363637,3177.469009426576
23:00:00,2954.993,3185.425,3319.963,3153.460333333333,3185.425,2954.993,3120.3420555555554,3120.7670806684446
23:15:00,2884.458,3078.406,3231.179,3064.681,3078.406,2884.458,3085.1821666666665,3085.620169667781
23:30:00,2869.913,3087.139,3143.64,3033.564,3087.139,2869.913,3044.5399999999995,3044.4201593931452
23:45:00,2807.905,3025.148,3153.885,2995.646,3025.148,2807.905,2936.1970833333335,2936.3930470579367
