modified_index,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
21:30:00,3505.332,3772.676,3385.079,3536.934,3441.327,3339.986,3466.313,3492.5210000000006,3466.313,3505.332,3472.7084000000004,3467.084947038123
21:45:00,3503.877,3634.234,3302.578,3557.577,3397.834,3184.753,3457.842,3434.0992857142855,3457.842,3503.877,3438.338828571429,3435.0168674115566
22:00:00,3420.16,3473.675,3235.103,3482.618,3420.822,3194.559,3366.67,3370.515285714286,3420.16,3420.16,3373.7862190476185,3367.9252869445195
22:15:00,3344.98,3370.331,3211.936,3436.913,3311.428,3119.738,3325.688,3303.0020000000004,3325.688,3344.98,3331.004,3331.115071310501
22:30:00,3288.017,3363.585,3154.329,3333.261,3256.212,3010.912,3309.516,3245.1188571428575,3288.017,3288.017,3239.4275714285714,3239.1848336408048
22:45:00,3146.584,3220.551,3029.357,3204.077,3150.631,2972.875,3216.546,3134.374428571428,3150.631,3146.584,3153.8909523809525,3157.0097015508672
23:00:00,3097.041,3234.783,2997.71,3184.532,3125.027,2929.87,3170.079,3105.5774285714288,3125.027,3097.041,3105.325035714286,3112.6170683327227
23:15:00,2983.529,3139.241,2939.05,3108.443,3150.12,2942.137,3094.296,3050.9737142857134,3094.296,2983.529,3045.333071428571,3045.2852907442784
23:30:00,2906.658,3113.713,2880.952,3088.061,3066.338,2898.527,3004.729,2994.139714285714,3004.729,2906.658,3002.2581714285716,3002.4921271723124
23:45:00,2831.575,3027.991,2850.522,3064.219,2989.131,2846.302,2967.9,2939.662857142858,2967.9,2831.575,2924.7429327731097,2924.728711911675
