modified_index,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN,Euclidean Barycenter
11:15:00,708.731,645.106,636.398,534.972,732.444,645.157,434.824,651.668,570.579,602.244,611.332,546.713,591.321,316.958,634.121,663.183,609.396,511.003,584.634,547.751,385.016,607.291,565.774,627.19,635.419,620.296,154.234,140.032,177.634,161.152,200.422,233.746,225.494,437.964,396.467,368.428,373.203,438.742,617.04,639.606,503.823,431.64,701.096,595.091,625.962,656.373,645.788,592.974,410.114,509.11318367346945
11:30:00,710.053,633.234,634.333,553.352,742.487,645.586,471.308,652.542,600.573,661.362,604.113,545.742,592.624,312.816,624.293,689.36,616.74,548.689,623.797,568.811,365.031,658.11,581.537,616.184,625.147,617.034,150.797,205.507,188.841,161.549,216.576,242.794,200.501,429.409,414.712,350.53,377.819,448.61,599.543,704.492,492.631,454.966,677.538,616.772,621.246,655.207,645.251,611.98,405.244,517.7014897959184
11:45:00,698.101,647.806,605.109,558.734,747.55,653.252,456.674,693.072,588.353,667.483,600.528,539.87,592.094,362.657,637.934,684.064,611.738,557.52,652.202,561.97,358.759,642.566,560.938,614.97,656.667,596.961,153.983,210.349,205.943,160.86,200.281,244.356,181.132,414.049,376.646,337.284,376.603,538.868,663.356,710.958,503.481,453.297,652.517,597.673,645.296,626.713,649.782,586.074,411.668,519.3620612244896
12:00:00,696.504,663.578,598.187,559.108,715.969,644.828,465.338,694.407,596.693,662.766,603.59,550.512,600.701,354.281,612.966,702.27,590.429,544.011,644.366,536.93,352.327,653.408,568.011,608.757,645.968,577.847,157.701,180.428,205.68,167.014,215.004,226.561,31.946,424.717,379.037,338.166,396.516,604.637,626.776,693.794,495.096,436.703,679.688,605.917,656.12,625.797,643.306,589.584,420.978,515.2024081632653
12:15:00,677.651,660.108,599.153,569.681,738.833,636.271,461.91,659.378,587.279,665.841,600.999,547.434,582.189,344.332,601.292,671.718,601.504,545.98,609.361,525.977,353.42,619.204,577.912,639.196,645.289,589.976,162.459,185.523,208.193,173.759,223.126,221.293,15.194,436.949,395.962,352.648,386.994,629.378,646.077,614.712,496.746,442.233,685.272,591.917,643.788,629.544,602.582,588.141,447.713,512.0834897959185
12:30:00,729.433,671.999,618.732,563.806,739.4,637.808,459.807,608.561,582.409,663.143,582.11,551.074,595.03,345.276,618.096,679.304,602.411,568.743,586.117,529.874,368.799,612.14,589.908,657.85,626.063,587.339,152.77,199.774,213.984,174.723,227.263,231.584,11.706,414.097,372.463,377.928,383.516,640.85,666.686,649.943,489.39,432.033,704.973,600.332,643.129,617.342,589.714,590.648,439.187,514.2707551020409
12:45:00,692.341,657.794,600.122,563.103,706.558,647.813,468.972,658.407,600.619,667.13,590.361,549.97,589.679,350.243,633.791,709.598,626.063,534.761,563.184,539.967,395.71,594.641,594.812,661.418,611.174,598.648,165.043,193.833,219.28,161.633,233.459,228.018,0.478,425.967,381.923,380.959,365.309,706.254,635.076,658.081,484.409,445.493,695.17,601.961,646.727,621.232,574.237,607.786,441.761,515.9381224489795
13:00:00,715.04,668.694,628.614,563.881,721.234,634.519,478.273,665.332,608.704,648.791,577.761,550.08,611.893,351.768,686.869,717.643,646.44,551.981,599.066,548.344,395.177,619.339,591.779,681.189,609.264,567.098,160.201,170.831,207.302,186.041,228.898,215.329,-12.607,410.217,408.771,378.677,350.229,813.904,633.647,649.226,520.958,457.914,733.523,612.783,662.873,645.416,613.786,605.377,432.232,524.9857346938776
13:15:00,709.891,633.702,601.93,563.509,732.383,630.024,470.996,669.971,590.404,659.229,564.05,565.858,594.099,375.0,690.368,733.76,645.172,565.752,601.134,571.95,383.549,606.411,607.144,681.021,622.507,566.074,160.884,168.752,180.786,183.578,236.709,207.94,-25.618,386.607,424.084,363.156,365.832,812.904,622.471,655.161,491.276,448.17,744.786,602.339,657.95,636.809,606.56,593.354,423.398,522.1178775510206
13:30:00,722.383,691.071,604.4,561.75,743.244,642.624,475.304,689.006,615.242,655.767,557.812,549.536,584.647,349.692,714.921,728.59,620.287,568.431,614.764,536.629,362.244,602.271,610.373,677.764,634.936,570.576,169.081,193.702,183.026,176.867,219.331,204.57,-23.793,353.606,405.501,351.172,377.596,835.339,647.442,636.873,489.099,443.536,689.442,582.206,647.384,623.372,596.79,599.623,428.687,520.7084897959182
