P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,Euclidean Barycenter
14078.979,14051.572,13539.986,13178.708,13823.93,13487.191,12570.546,13565.044,9919.531,13158.404,13572.648,13811.637,13350.806,15295.129,13096.632,13397.618,13919.738,13100.513,13586.696,13610.275,12740.467,13489.896,13623.931,13682.293,13610.669,13757.488,10968.297,10341.398,13226.072214285714
14205.926,13926.396,13586.203,13424.782,14093.229,13562.517,12923.965,13889.472,13541.232,13238.079,13602.025,13952.799,13352.499,15207.174,13520.858,13637.685,13931.688,13157.637,13776.329,13581.378,12984.425,13622.263,13909.816,13674.885,13667.626,13767.454,10877.197,10583.475,13471.393357142853
14199.749,14136.92,13747.881,13629.724,14199.3,13771.872,13016.764,13964.45,13849.101,13541.672,13823.319,14131.487,13519.646,15600.159,13826.625,13627.431,14210.897,13276.011,13858.33,13733.219,13085.064,13748.502,13969.318,13811.731,13729.634,13935.084,11121.708,10780.449,13637.358821428572
14220.318,14548.004,13837.434,13880.135,14257.389,14074.901,13247.456,14043.653,13814.377,13585.562,14088.538,14111.96,13677.996,15733.081,13864.128,13891.064,14234.549,13408.256,14066.735,13518.399,13106.216,13885.479,13958.318,13951.387,13821.294,14001.993,11026.44,10692.981,13733.858678571427
14238.8,14467.382,14015.42,13841.516,14447.102,14157.299,13505.405,14091.454,14210.851,13782.852,14176.423,14346.912,13892.796,15897.911,13967.12,14207.716,14151.942,13553.879,14018.825,13679.158,13367.631,14083.401,14125.161,14079.26,14056.312,14399.123,11153.632,10844.914,13884.292750000002
14357.618,14529.54,14023.056,14077.656,14509.323,14418.166,13354.632,14275.171,14253.592,13931.023,14329.055,14504.349,14059.211,15863.137,14059.841,14309.145,14308.81,13340.925,14307.51,13827.223,13391.241,14211.991,14400.155,14099.231,14239.996,14542.609,11229.768,10869.765,13986.562107142852
14503.518,14769.592,14147.917,13963.019,14614.419,14523.848,13488.012,14144.678,14310.229,14040.407,14216.51,14646.429,14223.283,16327.178,13966.248,14250.631,14517.782,13694.068,14158.429,14016.148,13530.81,14236.487,14561.961,14309.955,14417.679,14534.811,11535.04,11039.091,14096.006392857144
14672.052,14800.068,14283.185,14191.228,14792.963,14557.306,13615.124,14220.984,14478.981,14203.219,14369.451,14598.494,14237.35,16443.32,14416.869,14360.072,14535.421,13795.778,14409.211,13990.214,13751.65,14431.786,14420.865,14529.887,14390.573,14635.696,11272.653,11103.951,14196.72682142857
14626.338,14687.276,14156.777,14216.636,14940.498,14941.782,13847.637,14251.071,14551.629,14370.652,14644.693,14654.877,14446.972,16404.61,14543.969,14445.067,14438.733,13965.374,14512.468,14102.034,13708.47,14443.572,14741.555,14517.366,14438.32,14674.029,11374.307,11241.648,14281.72714285714
14728.119,14855.792,13949.662,14306.428,15224.132,14816.854,14056.775,14149.115,14701.197,14635.389,14821.083,14828.491,14558.964,16820.042,14418.335,14681.985,14602.093,13989.384,14625.241,14333.844,13759.834,14377.598,14845.498,14482.82,14502.497,14678.72,11429.169,11200.87,14370.71182142857
14838.276,14878.611,13585.191,14465.131,15039.92,14834.226,14016.441,14624.047,14699.621,14350.666,14826.345,14895.553,14676.325,16843.849,14746.656,14914.98,14331.61,14208.462,14562.901,13803.042,13807.668,14646.546,14723.866,14222.187,14566.674,14595.099,11453.474,11302.339,14373.560928571425
15035.876,15020.148,13505.913,14455.073,15309.458,14959.908,13944.088,14597.542,14654.085,14347.39,14873.919,14950.478,14830.768,16948.044,14643.618,14770.135,14557.331,14239.012,14610.959,13595.949,13677.577,14687.366,14941.692,14236.15,14716.152,14803.081,11465.808,11383.218,14420.026357142855
15090.741,14726.567,14021.333,14500.773,15154.74,14938.565,14268.114,14763.895,14621.797,14663.701,14900.43,14742.451,14955.237,16987.627,14803.183,15011.566,14907.447,14494.583,14227.661,14146.041,13922.923,14730.915,15160.167,14610.101,14583.052,14776.543,11452.228,11650.343,14529.025857142859
14774.916,14829.825,14180.322,14545.153,15270.165,14906.117,14363.939,14797.848,14638.702,14634.769,14907.597,15074.024,14888.332,17302.622,14896.175,15088.952,14705.225,14478.119,14327.061,13927.185,14027.695,14866.823,15091.743,14768.931,14710.869,14832.347,11500.208,11474.023,14564.631678571426
14753.0,14872.79,14329.028,14569.958,15135.028,14762.508,14208.818,14847.794,14785.596,14721.893,14669.515,15008.96,14754.339,17446.339,14918.47,15240.837,14945.74,14534.331,14481.199,14007.334,14145.181,14967.509,15095.148,14716.021,14743.216,14741.917,11455.019,11399.0,14580.588857142857
15167.074,14621.156,14470.77,14686.708,15176.051,15070.219,14453.676,14955.239,14692.262,14824.148,14538.611,15133.725,14724.106,17529.906,14906.883,15117.025,14771.739,14691.602,14623.916,14154.327,14040.48,15051.324,14938.375,14743.247,14919.874,14855.628,11585.031,11516.713,14641.421964285715
14948.23,14818.389,14472.922,14797.837,15129.485,14948.054,14502.004,14821.878,14705.047,14823.943,14639.879,15130.683,14821.787,15090.782,15072.801,15300.251,14742.812,14733.56,14666.247,14076.277,14110.619,15154.443,14924.677,14935.433,14932.779,14820.42,11506.485,11497.246,14575.891785714286
15281.668,15136.677,14611.511,14704.146,15032.983,14911.059,14116.499,14806.761,14985.399,14974.188,14420.438,15158.945,14824.896,14932.223,15216.131,15357.897,14596.778,14984.27,14629.835,14135.518,13978.669,15173.291,14822.53,14875.586,14757.331,14993.808,11630.823,11437.144,14588.821571428574
15341.342,15215.397,14536.119,14811.673,15243.69,15087.19,14194.838,14837.042,15000.413,14991.149,14576.333,15211.391,14895.194,13726.43,15255.641,15368.258,14344.977,14807.097,14824.021,14193.508,13857.727,15054.684,14634.76,15056.789,14894.504,15011.748,11625.543,11515.649,14575.46810714286
15185.104,15126.021,14347.252,14679.049,15084.87,14805.152,14236.534,14835.627,14830.856,15021.812,14458.873,15078.687,14883.569,13982.356,15102.65,15337.904,14546.479,14792.127,14801.345,14065.053,14008.785,15234.513,14616.336,14990.624,14828.773,15070.991,11678.257,11547.74,14542.047821428567
14918.995,15038.87,14102.232,14777.261,14933.156,14872.414,14088.344,14758.424,14626.233,14989.607,14307.542,14986.207,14623.669,13938.247,15228.36,15195.093,14505.35,14906.58,14735.372,13909.202,13854.242,15142.884,14847.096,15012.068,14877.372,14932.55,11434.179,11451.307,14464.030571428568
