Timestamp,Times,S total_SJN,P total_SJN,Q total_SJN,pf total_SJN
2016-Feb-22 07:00:00.000,00:00.0,2822.461,2809.557,268.686,-99.543
2016-Feb-22 06:45:00.000,45:00.0,2757.053,2748.358,217.022,-99.685
2016-Feb-22 06:30:00.000,30:00.0,2777.679,2767.9,231.361,-99.649
2016-Feb-22 06:15:00.000,15:00.0,2814.14,2801.867,258.93,-99.568
2016-Feb-22 06:00:00.000,00:00.0,2814.247,2798.777,293.748,-99.451
2016-Feb-22 05:45:00.000,45:00.0,2729.273,2711.509,309.998,-99.35
2016-Feb-22 05:30:00.000,30:00.0,2641.665,2627.254,273.937,-99.455
2016-Feb-22 05:15:00.000,15:00.0,2605.133,2587.234,304.15,-99.313
2016-Feb-22 05:00:00.000,00:00.0,2575.282,2557.059,304.712,-99.293
2016-Feb-22 04:45:00.000,45:00.0,2577.95,2556.897,327.926,-99.184
2016-Feb-22 04:30:00.000,30:00.0,2483.811,2466.537,291.636,-99.305
2016-Feb-22 04:15:00.000,15:00.0,2460.523,2445.538,270.28,-99.392
2016-Feb-22 04:00:00.000,00:00.0,2502.625,2484.102,303.311,-99.261
2016-Feb-22 03:45:00.000,45:00.0,2554.039,2534.092,317.651,-99.22
2016-Feb-22 03:30:00.000,30:00.0,2546.156,2527.92,303.189,-99.284
2016-Feb-22 03:15:00.000,15:00.0,2629.415,2605.934,349.259,-99.11
2016-Feb-22 03:00:00.000,00:00.0,2593.832,2575.083,310.416,-99.278
2016-Feb-22 02:45:00.000,45:00.0,2664.089,2643.859,327.118,-99.241
2016-Feb-22 02:30:00.000,30:00.0,2633.784,2616.101,303.368,-99.33
2016-Feb-22 02:15:00.000,15:00.0,2680.905,2661.061,325.216,-99.259
2016-Feb-22 02:00:00.000,00:00.0,2708.486,2688.466,328.126,-99.261
2016-Feb-22 01:45:00.000,45:00.0,2749.094,2728.58,334.256,-99.254
2016-Feb-22 01:30:00.000,30:00.0,2772.838,2751.786,340.463,-99.241
2016-Feb-22 01:15:00.000,15:00.0,2780.822,2761.721,324.496,-99.314
2016-Feb-22 01:00:00.000,00:00.0,2893.48,2868.779,376.247,-99.148
2016-Feb-22 00:45:00.000,45:00.0,2887.227,2867.171,338.94,-99.306
2016-Feb-22 00:30:00.000,30:00.0,2956.605,2933.051,371.056,-99.207
