,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN
14:15:00,4232.753,4340.455,3906.011,3911.95,4383.858,4012.64,3621.896,4372.455,4075.071,4323.741,4049.056,4006.01,3822.642,3368.133,4363.348,4385.359,4101.278,4198.372,4206.284,3658.269,3380.561,4081.506,4121.749,4367.617,4309.747,4149.646,2872.108,2762.444
14:30:00,4158.073,4335.123,3880.668,3910.747,4400.034,4049.175,3637.052,4266.581,4133.735,4293.53,3976.504,4025.866,3870.546,3348.44,4400.588,4438.971,4157.859,4203.819,4244.684,3685.676,3336.222,4137.023,4140.603,4362.337,4314.472,4153.409,2907.035,2726.431
14:45:00,4196.311,4367.266,3801.545,3934.522,4315.238,4019.513,3616.834,4245.011,4095.078,4340.375,3975.173,4025.61,3905.186,3377.341,4418.693,4417.264,4041.303,4110.058,4215.16,3629.655,3326.008,4080.255,4056.195,4290.565,4263.971,4152.932,2876.374,2826.831
15:00:00,4163.304,4372.903,3845.158,3907.74,4368.861,3981.953,3618.387,4268.27,4107.414,4387.862,4079.134,4043.526,3931.193,3275.552,4417.054,4400.386,4040.332,4193.79,4223.838,3711.902,3346.497,4036.626,4069.083,4250.312,4190.927,4200.981,2838.279,2761.33
15:15:00,4234.144,4358.793,3867.699,3981.141,4381.113,3949.068,3609.437,4157.218,4000.861,4420.93,4162.531,4011.453,3922.011,3357.684,4483.519,4341.188,3981.208,4179.131,4156.412,3657.332,3465.84,4096.057,4039.24,4347.326,4320.384,4231.104,2826.931,2779.2
15:30:00,4079.33,4298.98,3857.696,3916.211,4336.333,3950.531,3571.117,4129.043,4138.602,4313.505,4042.528,3967.595,3924.222,3334.108,4401.199,4235.523,3996.632,4127.075,4114.353,3600.321,3543.151,4048.361,4144.147,4235.816,4313.303,4247.762,2844.39,2778.708
15:45:00,4118.871,4243.015,3986.476,3906.621,4389.871,3950.774,3586.974,4104.596,4133.828,4377.576,4069.898,4026.017,3833.216,3274.564,4405.049,4301.62,4043.964,4172.015,4069.695,3676.299,3571.961,4055.985,4071.654,4329.42,4367.174,4093.39,2836.534,2739.961
16:00:00,4150.697,4242.027,3929.117,3780.88,4442.861,3988.208,3517.176,4204.197,4105.856,4374.935,4010.894,3928.782,3736.708,3379.018,4460.933,4339.695,3866.485,4174.625,4096.706,3593.216,3552.581,4102.161,4135.75,4234.307,4323.608,4074.63,2906.73,2814.115
16:15:00,4207.389,4120.672,3899.181,3821.191,4365.534,4055.295,3507.176,4156.551,4124.025,4343.135,4002.045,3883.604,3724.993,3312.638,4100.53,4326.635,3918.391,4098.253,4047.746,3605.255,3530.327,4036.143,4037.102,4221.083,3981.249,4050.008,2893.311,2780.597
16:30:00,4115.283,4056.287,3853.814,3675.575,4356.366,4102.356,3547.824,3825.243,4024.812,3907.322,3905.539,3817.24,3720.684,3332.787,4023.934,4193.383,3880.326,4024.372,3952.577,3403.768,3385.224,4044.874,4051.053,4178.629,3883.347,4057.336,2819.125,2753.109
