,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN
09:15:00,4006.452,3885.184,3817.412,3416.391,4151.006,3447.83,3108.813,4017.163,2107.0,3886.019,3930.402,3810.784,3309.04,4149.328,3512.175,3922.357,3986.662,3630.733,3624.97,3568.529,3057.84,3789.031,3889.782,3649.799,3847.412,3890.855,2598.07,2233.759,2963.593,2927.272,2766.737,3057.04,3079.347,2400.249,2785.138,2455.72,2290.861,3027.875,3149.663,3353.338,2713.227,2519.116,3358.054,3346.29,3791.62,3354.775,3442.229,2843.596,2757.074
09:30:00,4053.156,3898.504,3810.241,3541.138,4203.336,3427.217,3193.303,4033.471,3871.13,3837.626,3954.673,3889.462,3370.343,4208.09,3858.563,3991.011,3997.982,3650.041,3855.487,3593.132,3172.988,3841.397,3926.634,3938.26,3870.82,3860.209,2583.207,2411.562,2991.741,2896.8,2996.34,3139.882,3071.588,2454.1,2706.104,2461.789,2315.583,3035.21,3343.115,3336.805,2910.136,2641.408,3409.263,3448.505,3856.358,3353.844,3307.226,2939.479,2527.069
09:45:00,4069.053,4023.198,3828.973,3572.484,4211.333,3555.573,3142.21,4064.657,3922.742,3868.859,4106.727,3947.982,3485.8,4393.022,3990.484,3950.328,4058.919,3696.152,3861.401,3663.257,3296.559,3892.694,3939.359,3968.311,3881.022,3985.577,2667.983,2423.927,3083.424,2920.486,3027.344,3160.8,3138.34,2529.334,2764.524,2470.923,2444.434,3108.049,3414.027,3518.048,2961.469,2680.867,3490.057,3554.154,3925.6,3389.182,3417.781,3018.13,2706.43
10:00:00,4023.061,4120.435,3874.16,3624.943,4241.849,3674.538,3451.182,4149.314,3951.584,3905.188,4099.389,3854.131,3543.541,4433.532,3875.666,3988.267,4022.495,3657.895,3998.431,3644.589,3229.47,3848.141,3874.855,4000.846,3804.64,3952.284,2678.955,2424.392,3055.155,3123.818,3124.136,3143.539,3129.377,2593.068,2773.11,2445.907,2662.007,3111.628,3423.979,3593.803,3007.534,2714.332,3471.601,3566.572,3899.346,3439.791,3457.08,2996.425,2770.58
10:15:00,4081.726,4068.282,3896.019,3691.792,4325.627,3717.278,3487.329,4165.612,3995.109,3998.652,4058.945,3938.328,3627.029,4507.523,3898.063,4060.469,3992.228,3751.148,3999.324,3654.405,3304.294,3974.484,4014.693,3960.013,4021.955,4046.933,2705.289,2482.905,3080.745,3111.304,3115.403,3140.255,3123.842,2703.354,2754.057,2493.908,2697.819,3146.165,3424.786,3625.004,3120.397,2913.098,3492.525,3682.795,4032.543,3536.346,3530.606,3161.98,2852.253
10:30:00,4128.313,4152.835,3913.698,3815.989,4306.236,3993.089,3515.879,4271.437,4085.658,3988.908,4059.185,3903.653,3628.007,4536.615,3942.1,4088.924,4096.132,3687.891,4026.718,3754.944,3335.828,3971.429,4063.858,4001.212,4056.797,4029.068,2706.793,2478.071,3158.071,3098.434,3120.024,3150.562,3118.555,2698.281,2759.902,2523.301,2699.922,2512.117,3451.228,3596.814,3127.93,2929.024,3598.0,3677.283,4050.735,3650.413,3547.115,3349.259,2890.749
10:45:00,4205.198,4204.068,3955.175,3785.767,4349.121,4025.032,3582.819,4271.828,4056.261,4014.61,4031.519,3870.606,3842.579,4640.742,3880.498,4078.975,4126.543,3776.188,3944.557,3738.491,3334.282,3934.143,4061.593,3982.953,4174.231,4026.178,2863.722,2484.78,3193.927,3090.878,3063.849,3273.486,3093.583,2818.04,2861.918,2582.145,2742.304,3119.075,3407.031,3617.252,3133.396,2934.276,3698.157,3806.156,4154.721,3619.723,3603.476,3301.134,2955.141
11:00:00,4309.52,4260.201,3983.707,3850.412,4324.609,3986.577,3538.638,4276.856,4064.347,4045.857,4056.382,3914.625,3840.446,4646.257,4007.044,4125.001,4066.696,3798.396,4007.08,3711.131,3352.187,3938.23,3919.156,4044.253,4190.241,4101.505,2775.816,2483.633,3191.858,3027.196,3137.741,3257.099,3222.056,2869.195,2952.962,2667.513,2759.113,3146.771,3512.454,3610.55,3107.012,2998.969,3744.019,3725.449,4183.708,3786.533,3581.51,3465.609,2981.113
11:15:00,4230.981,4213.318,3954.11,3678.842,4408.946,4097.654,3592.942,4174.488,4110.39,4017.764,4257.722,3925.5,3859.653,4631.745,4026.621,4241.133,4049.443,3878.562,4067.409,3759.073,3333.702,4163.039,3960.834,4011.429,4161.856,4041.524,2812.554,2801.987,3242.393,3104.231,3093.835,3266.492,3160.945,2953.129,2942.599,2635.575,2752.275,3167.167,3551.628,3722.041,3143.783,3032.296,3738.586,3702.749,4210.263,3722.872,3660.805,3450.548,3031.651
11:30:00,4201.01,4194.925,3923.777,3807.173,4495.62,4089.778,3683.642,4101.884,4188.111,4206.283,4255.059,3980.951,3927.847,4761.109,3977.647,4280.21,4093.126,3874.221,4230.171,3864.941,3363.1,4126.617,3977.161,3952.883,4175.568499999999,4033.096,2844.333,2802.873,3213.465,3156.386,3093.065,3257.131,3190.82,2925.106,2938.557,2656.511,2719.437,3234.134,3515.655,3910.459,3187.104,3009.764,3704.337,3620.708,4225.292,3709.186,3609.254,3475.869,3040.796
