,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN
13:00:00,3317.722,3297.445,3244.131,3227.017,2816.161,2926.382,2851.383,2735.929,2655.301,4137.306,3734.023,3769.051,3272.54,2966.047,3984.122,3736.76,4227.799,3758.447,3548.437,3492.792,2963.983
13:15:00,3289.071,3263.067,3255.297,3192.285,2687.312,2827.074,2903.862,2805.65,2759.958,4066.052,3657.828,3822.434,3194.332,2957.647,3883.406,3672.084,4245.175,3779.784,3644.482,3502.953,2950.756
13:30:00,3266.87,3223.627,3183.165,3267.353,2813.997,2855.026,2844.015,2756.84,2730.514,4076.902,3773.342,3747.1,3180.959,2880.604,3865.045,3605.756,4197.803,3720.896,3667.003,3374.681,2948.695
13:45:00,3281.211,3239.225,3202.012,3345.028,2766.28,2865.738,2777.816,2742.512,2803.927,4093.948,3781.819,3670.712,3202.248,2944.887,3792.782,3613.195,4242.237,3743.172,3708.636,3354.355,2923.181
14:00:00,3347.061,3298.462,3259.825,3275.399,2878.803,2870.392,2832.335,2748.22,2825.583,4175.193,3775.908,3858.08,3130.886,2950.751,3839.212,3624.119,4222.05,3731.565,3638.616,3356.133,2948.006
14:15:00,3323.248,3256.395,3251.667,3302.46,2753.935,3000.822,2872.553,2767.023,2893.421,4103.812,3783.141,3811.952,3129.617,2976.868,3810.026,3638.459,4264.604,3758.602,3598.364,3314.753,2957.927
14:30:00,3263.203,3197.774,3257.785,3228.003,2786.058,2952.393,2835.117,2757.486,2864.223,3790.596,3866.389,3786.978,3157.773,2986.406,3851.745,3719.428,4262.658,3676.912,3640.361,3316.808,2927.633
14:45:00,3193.511,3270.559,3215.615,3341.275,2706.262,2900.209,2767.826,2679.671,2814.599,3776.989,3713.438,3739.325,3120.473,2996.06,3690.807,3661.791,4199.303,3681.876,3674.857,3321.412,2868.696
15:00:00,3291.402,3251.664,3195.648,3365.212,2673.142,2946.827,2770.363,2743.19,2815.744,3945.265,3794.855,3728.972,3122.594,2912.254,3681.985,3640.766,4191.517,3752.614,3604.815,3349.326,2961.624
15:15:00,3229.015,3212.635,3259.613,3276.528,2768.517,2925.741,2823.507,2709.02,2864.29,3948.556,3807.434,3673.865,3101.166,2915.199,3689.154,3659.094,4272.562,3729.229,3713.13,3330.294,2945.125
15:30:00,3195.995,3249.324,3172.296,3296.558,2714.696,2964.366,2830.37,2739.736,2808.548,4000.369,3687.259,3627.669,3147.021,2904.996,3761.541,3605.557,4243.426,3661.864,3663.968,3262.815,2908.184
15:45:00,3200.428,3243.849,3217.644,3305.923,2650.792,2921.049,2803.794,2672.096,2793.497,3959.444,3748.998,3528.511,3136.097,2866.386,3768.487,3662.414,4295.112,3658.583,3609.882,3358.862,2960.617
16:00:00,3408.524,3308.806,3235.323,3203.308,2731.858,2762.184,2750.8,2691.016,2780.726,3921.824,3674.762,3525.234,3088.948,2901.1,3605.05,3615.768,3961.776,3675.823,3533.245,3222.561,2934.938
16:15:00,3371.852,3217.192,3180.26,3239.62,2461.033,2752.65,2821.455,2528.288,2739.877,3857.076,3551.104,3483.735,3094.95,2967.944,3514.214,3424.359,4027.128,3632.913,3564.828,3118.292,2937.111
16:30:00,2973.643,3187.525,3096.031,3177.804,2404.392,2809.462,2779.003,2549.732,2650.913,3810.299,3409.406,3196.552,3049.429,2895.976,3343.163,3439.631,3918.198,3408.404,3181.349,3122.717,2859.673
16:45:00,2895.823,3105.724,3049.383,3157.045,2452.574,2818.818,2741.977,2558.565,2707.825,3499.023,3475.34,3114.4,3033.58,2872.328,3284.47,3232.05,3750.558,3425.435,3139.827,3135.554,2863.091
17:00:00,2934.132,3143.311,3011.067,3187.92,2484.627,2863.074,2719.661,2569.155,2698.412,3401.996,3264.045,3178.696,2924.657,2839.424,3254.716,3134.035,3756.464,3254.97,3101.507,3209.979,2901.473
17:15:00,2983.726,3121.686,2949.762,3123.799,2400.993,2764.178,2711.075,2572.238,2728.75,3110.281,3195.301,2886.024,2995.529,2886.145,3270.847,3105.551,3674.114,3260.787,3104.39,3138.66,2867.734
17:30:00,2948.505,3041.919,2774.532,3050.777,2376.623,2809.883,2746.387,2557.691,2710.206,3189.4,3160.047,2967.737,2868.624,2778.963,3011.489,3031.659,3542.919,3284.649,3101.835,3063.692,2853.655
17:45:00,2806.087,3024.154,2800.876,2974.37,2599.157,2715.418,2675.648,2544.0,2603.427,2972.431,3069.438,2890.298,2889.815,2741.797,2938.617,2942.4,3393.169,3155.122,3029.668,3054.45,2767.665
18:00:00,2885.632,3106.33,2810.595,2952.616,2588.746,2675.068,2642.744,2543.123,2645.664,3038.846,3080.669,2846.351,2876.582,2707.567,2918.107,2924.991,3375.757,3161.698,3047.892,3029.284,2869.997
